NEGERI,SURAU,ALAMAT,POSKOD,DAERAH,NO. TELEFON,NO. FAKSIMILI
SARAWAK,"SURAU AS SALAM,LADANG TRUSAN",LADANG TRUSAN,98850,LAWAS,Tiada maklumat,Tiada maklumat
SARAWAK,SURAU AL-ISTIQBAL,"PPR BANDARIA PARK, BINTULU",97000,BINTULU,Tiada maklumat,Tiada maklumat
SARAWAK,DARUL RIDZUAN,"RAMD 2O KEM SRI 
98000 MIRI
",98000,MIRI,085-405800,Tiada maklumat
SARAWAK,SURAU DARUL YASSIN ,"RPR RANTAU PANJANG, SIBU",96000,SIBU,Tiada maklumat,Tiada maklumat
SARAWAK,SURAU AR RAHMAN,SMKA (SHOAW)JALAN MATANG,93050,KUCHING,Tiada maklumat,Tiada maklumat
SARAWAK,SURAU DARUL BARAKAH,"TAMAN BDC, STAMPIN, 
KUCHING",93050,KUCHING,Tiada maklumat,Tiada maklumat
SABAH,SURAU AN NAJM KG TINOMPOK LIWAN,"D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, P/S 52 TAMBUNAN",89657,BPA - TAMBUNAN,087-774654,087-774654
SABAH,SURAU AN-NUR KG. RAMPEK BELURAN,"D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,"SURAU BATANGAN LAUT, PAITAN BELURAN","D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,"SURAU DALAMAS,PAITAN BELURAN","D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,"SURAU KAINDANGAN, KG. TANGKARASON SUGUT BELURAN","D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,SURAU KG.KELIAGA SUGUT BELURAN,"D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,"SURAU MENGKABONG, SUNGAI-SUNGAI SUGUT BELURAN","D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,"SURAU TALIDUSUN, BINSULUNG BELURAN","D/A JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH, PETI SURAT 35, 90107 BELURAN",90107,SAN - BELURAN,089-511021,089-511021
SABAH,SURAU KG. DATONG,"D/A PEJABAT JHEAINS PITAS,
PETI SURAU 272,
KOTA MARUDU",89108,PBU - PITAS,Tiada maklumat,Tiada maklumat
SABAH,SURAU PERUMAHAN JKR,JKR PUTATAN,88200,PBS - PUTATAN,088233583,Tiada maklumat
SABAH,SURAU BUANG SAYANG.,"KAMPUNG BUANG SAYANG,KUNAK",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU DHIYA'URRAHMAN,"KAMPUNG KABOG, KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU AL BAYAN.,"KAMPUNG KUNAK JAYA LAUT,KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU PANGKALAN MADAI.,"KAMPUNG PANGKALAN MADAI,KUNAK",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU BABULKHAIR( R).GADING-2,"KAMPUNG RANCANGAN GADING-GADING,KUNAK",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG DAMARAN,KG DAMARAN 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG DOGOTON,KG DOGOTON 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG KUKUP,"KG KUKUP
BEAUFORT",89808,BPB - BEAUFORT,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG LAKSIAN,KG LAKSIAN 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU NURUL HUDA,KG LINSUK PUTATAN,88200,PBS - PUTATAN,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG LOK TOHOG LAUT,KG LOK TOHOG 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,"SURAU NURUL IMAN,SIPITANG","KG LUBOK DARAT, SIPITANG",89857,BPB - SIPITANG,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG LUMAIS,KG LUMAIS 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG MALIANGIN,KG MALIANGIN 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG MELIGU,KG MELIGU 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG PADANG 1,KG PADANG 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG MANDI DARAH,KG PULAU MANDI DARAH 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG SABUR,KG SABUR 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG SELAMAT BALAMBANGAN,KG SELAMAT BALAMBANGAN 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG SEMAYAN,KG SEMAYAN 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG SIBOGO BANGGI,KG SIBOGO 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG SIBUMBUNG,KG SIBUMBUNG 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU KG TANJUNG MANAWALI,KG TANJUNG MANAWALI 89058 BANGGI,89058,PBU - BANGGI,Tiada maklumat,Tiada maklumat
SABAH,SURAU AL-AZHAR ,"KG. LOK URAI DARAT, PULAU GAYA, KOTA KINABALU, SABAH",Tiada maklumat,PBS - KOTA KINABALU,Tiada maklumat,Tiada maklumat
SABAH,SURAU GUTHRIE.,"KILANG SAWIT GUTHRIE,KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU KOLEJ VOKASIONAL,"KOLEJ VOKASIONAL,
BEAUFORT",89808,BPB - BEAUFORT,Tiada maklumat,Tiada maklumat
SABAH,SURAU  JATIKA.,"LADANG JATIKA,KUNAK",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU NURUL JANNAH JELETA BUMI,"LADANG JELETA BUMI,KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU LG.KEMABONG.,"LADANG KEMABONG,KUNAK",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU LADANG MUIS.,LADANG MUIS.KUNAK.,91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU PALAMA.,"LADANG PALAMA,KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU  ROYAL SABAHAN.,"LADANG ROYAL SABAHAN,KUNAK.",91207,TAW - KUNAK,Tiada maklumat,Tiada maklumat
SABAH,SURAU AN NUR KG KADALAKAN,PETI SURAT 184 KENINGAU,89008,BPA - KENINGAU,087 331352,087 339957
SABAH,SURAU  NUR HIDAYAH KAMPUNG BANDUKAN BARU,"PETI SURAT 184,KENINGAU",89008,BPA - KENINGAU,087 331372,087 339957
SABAH,SURAU BAITUSSALAM,"SURAU BAITUSSALAM KG. PONDOI,
D/A PEJ JHEAINS PITAS,
PETI SURAT 272, 89108
KOTA MARUDU.",89108,PBU - PITAS,0195359960,Tiada maklumat
SABAH,SURAU NUR AMIN,"SURAU NUR AMIN, KG. KUSILAD,
D/A PEJ JHEAINS PITAS,
PETI SURAT 272, 89108
KOTA MARUDU.",89108,PBU - PITAS,Tiada maklumat,Tiada maklumat
SABAH,SURAU SHOUTUL IMAN,"SURAU SHOUTUL IMAN, KG KALIPUON,
D/A PEJ JHEAINS PITAS, 
PETI SURAT 272, 89108,
KOTA MARUDU.",89108,PBU - PITAS,0195857716,Tiada maklumat
PERLIS,SURAU ALOR TAMPANG,SURAU ALOR TAMPANG,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
PERLIS,SURAU IKBN,"INSTITUT KEMAHIRAN BELIA NEGARA
CAWANGAN PERLIS
KUALA PERLIS",2000,KANGAR,Tiada maklumat,Tiada maklumat
PERLIS,SURAU PAUH PUTRA,"KAMPUNS TETAP UNIMAP
PAUH PUTRA,ARAU",2600,Tiada maklumat,011-37394227,Tiada maklumat
PERAK,SDJ KAMPUNG KEPAYANG ORANG ASLI,SDJ KAMPUNG KEPAYANG ORANG ASLI,Tiada maklumat,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SDJ MA'HAD AL-UMMAH,"31200 CHEMOR, PERAK",31200,IPOH,019-5557874,Tiada maklumat
PERAK,SDJ SALAHUDDIN AL-AYUBBI ( SALADIN),"BATALION 23 RAMD, JALAN BESAR TAMBUN",31400,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT NURUL IMAN ,"BOUSTEAD NAVAL SHIPYARD SDN BHD
PANGKALAN TLDM
32100 LUMUT
PERAK DARUL RIDZUAN",32100,MANJUNG,05-6907006,Tiada maklumat
PERAK,SDJ MOHAMMED NOOR AL - AIN,"DESA CHEMOR IMPIAN , 31200 CHEMOR",31200,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AR-RAHMAN,"FASA 2D GABUNGAN (FASA 2D, 2E, 2F  DAN 2G)  
32040 SERI MANJUNG
PERAK DARUL RIDZUAN",32040,MANJUNG,Tiada maklumat,Tiada maklumat
PERAK,SURAU NURUL ILMI,"INSTITUT LATIHAN TEKNOLOGI TINGGI (ADTEC)
KAWASAN PERINDUSTRIAN KAMUNTING ",34600,TAIPING / LARUT MATANG,05-8012600,Tiada maklumat
PERAK,SDJ SEKOLAH MENENGAH AGAMA IZZUDDIN SHAH,"JALAN SULTAN AZLAN SHAH
31400 IPOH, PERAK",31400,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AR RIDZUAN,"KAMPUNG JALAN BADAK JELIANG 33800 MANONG, PERAK.",33800,KUALA KANGSAR,0195131396,Tiada maklumat
PERAK,SURAU DIRI JUMAAT KAMPUNG KENANG.,"KAMPUNG KENANG, 31100 SUNGAI SIPUT, PERAK.",31100,KUALA KANGSAR,0175826824,Tiada maklumat
PERAK,SURAU DIRI JUMAAT LARUT TIN,"KAMPUNG LARUT TIN, TAIPING",34000,TAIPING / LARUT MATANG,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT NURUL HIDAYAH POS POI,KAMPUNG ORANG ASLI POS POI,33110,KUALA KANGSAR,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AR-RAUDHAH,"KAMPUNG PAYA NIBONG
32400 AYER TAWAR
PERAK DARUL RIDZUAN",32400,MANJUNG,017-5379715,Tiada maklumat
PERAK,SURAU DIRI JUMAAT PUSAT SERENTI PERLOP,KAMPUNG PERLOP 2 SUNGAI SIPUT,33110,KUALA KANGSAR,Tiada maklumat,Tiada maklumat
PERAK,SDJ KG CHADAK,"KG CHADAK KINTA INTAKE, 31150 ULU KINTA, PERAK",31150,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT KG KEEB,KG KEEB SUNGAI SIPUT,Tiada maklumat,KUALA KANGSAR,Tiada maklumat,Tiada maklumat
PERAK,SDJ SYED MUHAMMAD JAMALULLAIL,"KG SERI AMPANG B,
JALAN RAJA MUSA MAHADI,
IPOH, PERAK",31350,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SDJ NURUL HIKMAH,"KG SUNGAI TONGGANG, 31250 TG. RAMBUTAN",31250,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SDJ NURUL FALAH,"KG TERSUSUN KLEBANG SELATAN , JALAN IPOH/CHEMOR",Tiada maklumat,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT,"KOLEJ MATRIKULASI GOPENG , 31600 GOPENG , PK",31600,KAMPAR,05-3594949,Tiada maklumat
PERAK,SDJ KOLEJ PERUBATAN,"KOLEJ SAINS KESIHATAN BERSEKUTU SULTAN AZLAN SHAH , ULU KINTA PERAK",31150,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SDJ AL HIDAYAH KSKB SULTAN AZLAN SHAH,"KOLEJ SAINS KESIHATAN SULTAN AZLAN SHAH, 31250 ULU KINTA, PERAK",31250,IPOH,05-5331192,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL-AZIM ,"KOMPLEKS KASTAM LUMUT
JALAN HAJI MOHAMAD ALI
32000 SITIAWAN
PERAK DARUL RIDZUAN ",32000,MANJUNG,019-7534007,Tiada maklumat
PERAK,SDJ  AL YAHYAWIAH,"LADANG GANDA BATU 7 DALAM,
JALAN CHANGKAT JONG.
TELUK INTAN",36000,HILIR PERAK,0134908112,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AMALIAH,"LADANG NADI AGROBUSISNESS SDN BHD.
SIMPANG 3 SITIAWAN
PERAK DARUL RIDZUAN
",32010,MANJUNG,05-6911117,Tiada maklumat
PERAK,SDJ JANNATUN NAIM,"LADANG SUNGAI ERONG
ULU BERNAM",36500,HILIR PERAK,0134977676,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AS-SALAM ,"LADANG UNITED INTERNATIONAL ENTERPRISE
34900 PANTAI REMIS
PERAK DARUL RIDZUAN ",34900,MANJUNG,016 -4142781,Tiada maklumat
PERAK,SDJ PUNCAK JELAPANG,"LALUAN PUNCAK JELAPANG 12, PUNCAK JELAPANG MAJU, 30020 IPOH, PERAK",30020,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL-HIDAYAH,"LOT 369, JALAN KMP 1/7, KOTA MALIM PRIMA",35900,SLIM RIVER,0166503053,Tiada maklumat
PERAK,SURAU DIRI JUMAAT MAAHAD TAHFIZ QURAN WAL QIRAAT,"MAAHAD TAHFIZ QURAN WAL QIRAAT,
BATU 7, JALAN SEPUTEH,
32800 PARIT",32800,SERI ISKANDAR / PARIT,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AR RAYYAN,"MARKAS TAKTIKAL KEM SERI BANDING,MUKIM GERIK 33300 GERIK PERAK",33300,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SDJ AL-MAKRUF,"MEDAN KLEBANG PRIMA,
31200 CHEMOR,
PERAK",31200,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT,"MRSM FELDA,
35600 SUNGKAI,
PERAK",35600,TAPAH,0195739695,Tiada maklumat
PERAK,SDJ AL-TAUFIQIAH ,"NO 02 , LALUAN KLEBANG JAYA 21 , TAMAN KLEBANG JAYA 31200 CHEMOR PERAK",31200,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SDJ AL-ISLAHIAH,"NO 30 JALAN TAMAN JATI 7 , TAMAN JATI JELAPANG 30020 IPOH,PERAK",30020,IPOH,Tiada maklumat,Tiada maklumat
PERAK,SURAU PENJARA,"PENJARA BATU GAJAH
31000 BATU GAJAH",31000,BATU GAJAH,0126203506,Tiada maklumat
PERAK,SURAU DIRI JUMAAT ISLAHIAH,"PENJARA TAPAH,
KM 12 JALAN TAPAH,
35400 TAPAH ROAD
PERAK",35400,TAPAH,054181818,Tiada maklumat
PERAK,SURAU PONDOK AIR JERNIH,"PONDOK AIR JERNIH
GERIK",Tiada maklumat,GERIK,Tiada maklumat,Tiada maklumat
PERAK,PUSAT ISLAM DIRI JUMAAT,"PUSAT ISLAM DIRI JUMAAT 
POLITEKNIK SULTAN AZLAN SHAH
BEHRANG.",35900,SLIM RIVER,0129009565,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL MUHAMMADI,RPS KEMAR KAMPUNG AKAI GERIK PERAK,33300,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU TARBIAH ISLAMIAH (SDJ),"SEK. MEN. AGAMA KEBANGSAAN AZLAN SHAH, 
SERI ISKANDAR, 32600 BOTA, PERAK",32610,SERI ISKANDAR / PARIT,05 3711689,Tiada maklumat
PERAK,SURAU DIRI JUMAAT,"SEK. MEN. SAINS TAPAH 
JALAN PAHANG
TAPAH, PERAK",35000,TAPAH,05-4018745,Tiada maklumat
PERAK,SDJ SEK. SAINS TAPAH,"SEK. MEN. SAINS TAPAH, JALAN PAHANG
TAPAH",35000,TAPAH,05-4018745,Tiada maklumat
PERAK,SURAU NUR HIDAYAH,"SEKOLAH MENENGAH KEBANGSAAN AGAMA TAHFIZ MODEL ULUL ALBAB KAMPONG SELAMAT, SIMPANG EMPAT SEMANGGOL,PERAK",34400,BAGAN SERAI,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT ISLAHIAH,"SURAU DIRI JUMAAT ISLAHIAH
SEKOLAH MENENGAH VOKESIONAL SLIM RIVER
35800 SLIM RIVER",35800,SLIM RIVER,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT MADDAH ,"SURAU MADDAH
FASA 1A, SERI MANJUNG
PERAK DARUL RIDZUAN ",32040,MANJUNG,019-5065543,Tiada maklumat
PERAK,SURAU PUSAT SERENTI PERLOP,"SURAU PUSAT SERENTI PERLOP,
31100 SUNGAI SIPUT (U) PERAK.",31100,KUALA KANGSAR,05-5911687,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL ITTIFAQIYYAH,"TAMAN BEMBAN RAYA
BATU GAJAH",31000,BATU GAJAH,0195116205,Tiada maklumat
PERAK,MADRASAH AL EHWAN TAMAN BERNAM (SDJ),"TAMAN BERNAM, 35900 TANJUNG MALIM, PERAK",35900,SLIM RIVER,017-6561201,Tiada maklumat
PERAK,"SDJ TAMAN DESA BAKTI	 ","TAMAN DESA BAKTI	
JALAN KAMPUNG BANJAR",36000,HILIR PERAK,013 4404214,Tiada maklumat
PERAK,SDJ  AL MUHAJIRIN,"TAMAN DESA MAJU PERAK,LANGKAP",36700,HILIR PERAK,019 3678975,Tiada maklumat
PERAK,SURAU SOLAT JUMAAT WAN NUNG,TAMAN DESA PERMATA GERIK PERAK,33300,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL-JAMIAH,"TAMAN KRISHNAN,
KG CINA
32000 SITIAWAN
PERAK DARUL RIDZUAN",32000,MANJUNG,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT NURUL HASANAH ,"TAMAN MAS, KAMPUNG KOH
32020 SITIAWAN
PERAK DARUL RIDZUAN",32020,MANJUNG,01132581997,Tiada maklumat
PERAK,SURAU AL-IKHWAN (DIRIKAN JUMAAT),"TAMAN NESA,
34100 SELAMA,
PERAK.",34100,SELAMA,016-5634167,Tiada maklumat
PERAK,SURAU DIRI JUMAAT TAMAN SERI BIDOR,TAMAN SERI BIDOR 35500 BIDOR PERAK .,35500,TAPAH,Tiada maklumat,Tiada maklumat
PERAK,SDJ HIDAYATUL ISLAMIAH,"TAMAN SERI CICELY JALAN CHANGKAT JONG
TELUK INTAN",36000,HILIR PERAK,012 4642669,Tiada maklumat
PERAK,SDJ AL-ANSOR,"TAMAN SERI PALMA BANDAR SERI BOTANI , IPOH 31350 PERAK .",31350,IPOH,Tiada maklumat,Tiada maklumat
PERAK,AL HIDAYAH UMMUMI,"TANAH KEBUN 
SIMPANG LIMA
PARIT BUNTAR
PERAK",34200,PARIT BUNTAR,Tiada maklumat,Tiada maklumat
PERAK,SURAU RPS BANUN,TPS BANUN GERIK,Tiada maklumat,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL ISLAH,"TROLAK PLANTATION RESORT,
FELDA RESIDENCE TROLAK,
35600 SUNGKAI",35600,TAPAH,054388687,Tiada maklumat
PERAK,SURAU PUSAT ISLAM UITM (SDJ),"UITM SERI ISKANDAR , 32600 BOTA , PERAK",32610,SERI ISKANDAR / PARIT,017 5477198,Tiada maklumat
PERAK,SURAU DIRI JUMAAT UITM ,"UNUVIRSITI TEKNOLOGI MARA (PERAK)
TAPAH ROAD
PERAK",53400,TAPAH,05-4018745,Tiada maklumat
PAHANG,SURAU IKBN TEMERLOH,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN BUNGA RAYA,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN JAYA 6,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN SETIA JASA,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FELDA MENGKARAK 2,28300 BERA,28300,BERA,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG. JERGOH,"28500 LANCHANG, TEMERLOH",28500,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AL-MUKMIN (SJ),AL-MUKMIN TMN IMPIANKU KM 13 JLN SG LEMB,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,"AL-MUSTAQIUM, CCRC KARAK","CCRC KARAK, LEBUHRAYA KL-KARAK",28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FATIMAH AZ-ZAHRAA (SJ),FATIMAH AZ-ZAHRAA P'KGAN INDERA SEMPURNA,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FELDA KECHAU 07,"FELDA KECHAU 07
KECHAU",27200,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU GENTING HIGHLANDS,GENTING HIGHLANDS,96000,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU UNIVERSITI ISLAM ANTARABANGSA,"JALAN ISTANA, BANDAR INDERA MAHKOTA, 25200 KUANTAN.",25200,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU POS PANTOS,"KAMPUNG PANTOS
",27650,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU ISKANDAR 96 DEPOT PELURU,"KEM MEMPAGA,
96 DEPOT PELURU,
BENTONG",28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG PERPINDAHAN SG DAMAI (SJ),KG PERPINDAHAN SG DAMAI,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG.BARU BENTONG,KG.BARU BENTONG 28700,28700,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,KOLEJ VOKASIONAL TENGKU AMPUAN AFZAN,"KM 6, JALAN KUALA LUMPUR,",28700,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU PUSAT LATIHAN TEKNOLOGI TINGGI ( ADTEC ) JER,KM 9 JALAN JERANTUT -  TEMERLOH,27000,JERANTUT,09-2663391,09-2662490
PAHANG,MASJID ATTAQWA ,KOLEJ MATRIKULASI TEKNIKAL JENGKA 26400 BANDAR PUSAT JENGKA PAHANG,26400,JENGKA,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KOMPLEK PENJARA BENTONG,KOMPLEK PENJARA BENTONG,28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TARIQ IBNU ZIYAD,"KOMPLEKS PULARIS, KEM MENTAKAB",28000,TEMERLOH,Tiada maklumat,Tiada maklumat
